"user_id","install_date","d1_active","d3_active","d7_active","d14_active"
"1001250",2023-02-08,1,0,0,0
"1001251",2023-02-08,1,0,0,0
"1001253",2023-02-08,1,0,0,0
"1001254",2023-02-08,0,0,0,0
"1001257",2023-02-08,0,0,0,0
"1001258",2023-02-08,0,0,0,0
"1001259",2023-02-08,0,0,0,0
"1001261",2023-02-08,1,0,0,0
"1001262",2023-02-08,0,0,0,0
"1001263",2023-02-08,0,0,0,0
"1001264",2023-02-08,0,0,0,0
"1001266",2023-02-08,0,0,0,0
"1001269",2023-02-08,0,0,0,0
"1001270",2023-02-08,0,0,0,0
"1001272",2023-02-08,0,0,0,0
"1001273",2023-02-08,0,0,0,0
"1001274",2023-02-08,0,0,0,0
"1001275",2023-02-08,0,0,0,0
"1001276",2023-02-08,0,0,0,0
"1001277",2023-02-08,0,0,0,0
"1001281",2023-02-08,0,0,0,0
"1001284",2023-02-08,0,0,0,0
"1001285",2023-02-08,0,0,0,0
"1001287",2023-02-08,0,0,0,0
"1001289",2023-02-08,0,0,0,0
"1001290",2023-02-08,0,0,0,0
"1001291",2023-02-08,0,0,0,0
"1001292",2023-02-08,0,0,0,0
"1001293",2023-02-08,0,0,0,0
"1001294",2023-02-08,0,0,0,0
"1001298",2023-02-08,0,0,0,0
"1001299",2023-02-08,0,0,0,0
"1001300",2023-02-08,0,0,0,0
"1001301",2023-02-08,0,0,0,0
"1001302",2023-02-08,1,0,0,0
"1001303",2023-02-08,0,0,0,0
"1001304",2023-02-08,0,0,0,0
"1001305",2023-02-08,1,0,0,0
"1001306",2023-02-08,0,0,0,0
"1001308",2023-02-08,0,0,0,0
"1001309",2023-02-08,0,0,0,0
"1001311",2023-02-08,1,0,0,0
"1001313",2023-02-08,0,0,0,0
"1001314",2023-02-08,0,0,0,0
"1001315",2023-02-08,0,0,0,0
"1001316",2023-02-08,0,0,0,0
"1001317",2023-02-08,0,0,0,0
"1001322",2023-02-08,0,0,0,0
"1001323",2023-02-08,0,0,0,0
"1001326",2023-02-08,0,0,0,0
"1001328",2023-02-08,0,0,0,0
"1001330",2023-02-08,0,0,0,0
"1001331",2023-02-08,1,0,0,0
"1001333",2023-02-09,0,0,0,0
"1001335",2023-02-09,0,0,0,0
"1001339",2023-02-09,0,0,0,0
"1001342",2023-02-09,0,0,0,0
"1001343",2023-02-09,0,0,0,0
"1001344",2023-02-09,0,0,0,0
"1001345",2023-02-09,0,0,0,0
"1001346",2023-02-09,0,0,0,0
"1001347",2023-02-09,1,0,0,0
"1001350",2023-02-09,0,0,0,0
"1001351",2023-02-09,0,0,0,0
"1001352",2023-02-09,0,0,0,0
"1001354",2023-02-09,0,0,0,0
"1001355",2023-02-09,0,0,0,0
"1001357",2023-02-09,0,0,0,0
"1001358",2023-02-09,0,0,0,0
"1001360",2023-02-09,0,0,0,0
"1001361",2023-02-09,1,0,0,0
"1001362",2023-02-09,0,0,0,0
"1001364",2023-02-09,0,0,0,0
"1001367",2023-02-09,0,0,0,0
"1001368",2023-02-09,0,0,0,0
"1001371",2023-02-09,0,0,0,0
"1001372",2023-02-09,0,0,0,0
"1001373",2023-02-09,0,0,0,0
"1001374",2023-02-09,0,0,0,0
"1001375",2023-02-09,0,0,0,0
"1001376",2023-02-09,0,0,0,0
"1001378",2023-02-09,0,0,0,0
"1001379",2023-02-09,0,0,0,0
"1001381",2023-02-09,0,0,0,0
"1001382",2023-02-09,0,0,0,0
"1001385",2023-02-09,0,0,0,0
"1001386",2023-02-09,1,0,0,0
"1001389",2023-02-09,0,0,0,0
"1001391",2023-02-09,0,0,0,0
"1001394",2023-02-09,0,0,0,0
"1001396",2023-02-09,0,0,0,0
"1001397",2023-02-09,0,0,0,0
"1001398",2023-02-09,0,0,0,0
"1001399",2023-02-09,0,0,0,0
"1001400",2023-02-09,0,0,0,0
"1001401",2023-02-09,0,0,0,0
"1001404",2023-02-09,0,0,0,0
"1001407",2023-02-09,0,0,0,0
"1001409",2023-02-09,0,0,0,0
"1001412",2023-02-09,0,0,0,0
"1001415",2023-02-09,0,0,0,0
"1001417",2023-02-09,0,0,0,0
"1001421",2023-02-09,0,0,0,0
"1001424",2023-02-09,0,0,0,0
"1001425",2023-02-09,0,0,0,0
"1001426",2023-02-09,0,0,0,0
"1001427",2023-02-09,0,0,0,0
"1001430",2023-02-09,0,0,0,0
"1001433",2023-02-09,0,0,0,0
"1001434",2023-02-09,0,0,0,0
"1001435",2023-02-09,0,0,0,0
"1001436",2023-02-09,0,0,0,0
"1001439",2023-02-09,0,0,0,0
"1001441",2023-02-09,0,0,0,0
"1001442",2023-02-09,0,0,0,0
"1001444",2023-02-09,0,0,0,0
"1001445",2023-02-09,0,0,0,0
"1001447",2023-02-09,0,0,0,0
"1001448",2023-02-09,0,0,0,0
"1001449",2023-02-09,0,0,0,0
"1001453",2023-02-09,0,0,0,0
"1001454",2023-02-09,0,0,0,0
"1001455",2023-02-09,0,0,0,0
"1001457",2023-02-09,0,0,0,0
"1001458",2023-02-09,0,0,0,0
"1001459",2023-02-09,0,0,0,0
"1001460",2023-02-09,1,0,0,0
"1001461",2023-02-09,0,0,0,0
"1001462",2023-02-09,0,0,0,0
"1001463",2023-02-09,0,0,0,0
"1001464",2023-02-09,0,0,0,0
"1001466",2023-02-09,0,0,0,0
"1001467",2023-02-09,0,0,0,0
"1001469",2023-02-09,1,0,0,0
"1001471",2023-02-09,0,0,0,0
"1001472",2023-02-09,0,0,0,0
"1001475",2023-02-09,0,0,0,0
"1001476",2023-02-09,0,0,0,0
"1001478",2023-02-09,0,0,0,0
"1001482",2023-02-09,0,0,0,0
"1001483",2023-02-09,0,0,0,0
"1001485",2023-02-09,0,0,0,0
"1001486",2023-02-09,0,0,0,0
"1001487",2023-02-09,0,0,0,0
"1001488",2023-02-09,0,0,0,0
"1001489",2023-02-09,0,0,0,0
"1001490",2023-02-09,0,0,0,0
"1001491",2023-02-09,0,0,0,0
"1001496",2023-02-09,0,0,0,0
"1001498",2023-02-09,0,0,0,0
"1001501",2023-02-09,1,0,0,0
"1001502",2023-02-10,0,0,0,0
"1001503",2023-02-10,0,0,0,0
"1001505",2023-02-10,0,0,0,0
"1001506",2023-02-10,0,0,0,0
"1001509",2023-02-10,0,0,0,0
"1001510",2023-02-10,1,0,0,0
"1001511",2023-02-10,0,0,0,0
"1001513",2023-02-10,0,0,0,0
"1001514",2023-02-10,0,0,0,0
"1001515",2023-02-10,0,0,0,0
"1001516",2023-02-10,0,0,0,0
"1001518",2023-02-10,1,0,0,0
"1001519",2023-02-10,0,0,0,0
"1001520",2023-02-10,0,0,0,0
"1001521",2023-02-10,0,0,0,0
